market_question,category,themes,odds_timestamp,odds_prev,odds_curr,odds_delta,direction,side,ticker,entry_price,entry_time,liquidity,end_date,pnl_1h,exit_1h_price,win_1h,pnl_4h,exit_4h_price,win_4h
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-16T15:00:24+00:00,0.215,0.245,0.03,up,SELL,VNQ,92.94999694824219,2026-03-16 15:30:00,13591.818,2026-12-09T00:00:00Z,-0.2528,93.18499755859375,0,-0.0108,92.95999908447266,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-16T15:00:24+00:00,0.215,0.245,0.03,up,SELL,TLT,87.0250015258789,2026-03-16 15:30:00,13591.818,2026-12-09T00:00:00Z,-0.0689,87.08499908447266,0,-0.2126,87.20999908447266,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-16T15:00:24+00:00,0.215,0.245,0.03,up,SELL,XLF,49.14500045776367,2026-03-16 15:30:00,13591.818,2026-12-09T00:00:00Z,-0.173,49.22999954223633,0,-0.3154,49.29999923706055,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-19T17:00:36+00:00,0.09,0.06,-0.03,down,BUY,VNQ,91.16999816894531,2026-03-19 17:30:00,13591.818,2026-12-09T00:00:00Z,0.532,91.65499877929688,1,-1.0201,90.23999786376953,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-19T17:00:36+00:00,0.09,0.06,-0.03,down,BUY,TLT,87.375,2026-03-19 17:30:00,13591.818,2026-12-09T00:00:00Z,0.2518,87.59500122070312,1,-1.3162,86.2249984741211,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-19T17:00:36+00:00,0.09,0.06,-0.03,down,BUY,XLF,48.67499923706055,2026-03-19 17:30:00,13591.818,2026-12-09T00:00:00Z,0.6163,48.974998474121094,1,0.5629,48.94900131225586,1
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:21+00:00,0.135,0.09,-0.04500000000000001,down,BUY,VNQ,89.97000122070312,2026-03-23 16:30:00,13591.818,2026-12-09T00:00:00Z,0.2834,90.2249984741211,1,-1.5783,88.55000305175781,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:21+00:00,0.135,0.09,-0.04500000000000001,down,BUY,TLT,86.20500183105469,2026-03-23 16:30:00,13591.818,2026-12-09T00:00:00Z,0.2494,86.41999816894531,1,-0.2726,85.97000122070312,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-23T16:00:21+00:00,0.135,0.09,-0.04500000000000001,down,BUY,XLF,49.35499954223633,2026-03-23 16:30:00,13591.818,2026-12-09T00:00:00Z,0.4069,49.55580139160156,1,-0.5572,49.08000183105469,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-24T14:00:23+00:00,0.175,0.135,-0.03999999999999998,down,BUY,VNQ,88.69999694824219,2026-03-24 14:30:00,13591.818,2026-12-09T00:00:00Z,-0.0113,88.69000244140625,0,-0.434,88.31500244140625,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-24T14:00:23+00:00,0.175,0.135,-0.03999999999999998,down,BUY,TLT,86.2499008178711,2026-03-24 14:30:00,13591.818,2026-12-09T00:00:00Z,-0.139,86.12999725341797,0,-0.1564,86.11499786376953,0
Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,fed-rate,fed_rate,2026-03-24T14:00:23+00:00,0.175,0.135,-0.03999999999999998,down,BUY,XLF,49.505001068115234,2026-03-24 14:30:00,13591.818,2026-12-09T00:00:00Z,0.0202,49.51499938964844,1,-0.1818,49.415000915527344,0
